index,Наименование параметра,3М636
0,Основные параметры станка,
1,Количество шлифовальных кругов,2
2,"Наибольший наружный диаметр круга, мм",600
3,"Наибольшая высота (ширина) круга, мм",80
4,"Посадочный диаметр круга, мм",203
5,"Диаметр изношенного круга, мм",
6,Класс неуравновешенности,
7,"Высота центров от основания, мм",880
8,"Расстояние между кругами, мм",920
9,Шпидель,
10,"Частота вращения, об/мин",1500; 980
11,"Максимальная скорость резания, м/с",
12,Электрооборудование,
13,Питающая сеть,~380 В 50 Гц
14,"Электродвигатель привода, кВт","7,5; 11,0"
15,Габариты и масса станка,
16,"Габариты станка (длина ширина высота), мм",1350 х 960 х 1360
17,"Масса станка, кг",980
