index,Наименование параметра,7М420
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Ход долбяка, мм",120..320
3,"Диаметр стола, мм",630
4,"Расстояние от плоскости стола до направляющих долбяка, мм",500
5,"Расстояние от долбяка до станины (вылет), мм",590
6,"Наибольшая высота обрабатываемого изделия при обработке наружной поверхности, мм",320
7,"Наибольшая высота обрабатываемого изделия при обработке внутренней поверхности, мм",250
8,Долбежная головка станка (долбяк),
9,"Наибольшее перемещение долбяка в пределах рабочей зоны, мм",570
10,"Наибольший угол поворота долбяка в направлении продольной подачи, град",10°
11,"Наибольшее сечение резца, мм",40 х 25
12,"Скорость долбяка под нагрузкой, м/мин",
13,Рабочий стол станка,
14,"Наибольшие перемещения стола продольные (по направляющим станины), мм",650
15,"Наибольшие перемещения стола поперечные (по направляющим салазок), мм",500
16,"Наибольшие перемещения стола круговые, град",360°
17,"Цена деления лимба при продольном и поперечном перемещении стола, мм",02
18,"Перемещение стола за оборот лимба при продольном и поперечном перемещении стола, мм",
19,"Цена деления лимба при круговом перемещении стола, град",1°
20,"Перемещение стола за оборот лимба при круговом перемещении стола, град",
21,"Пределы подач за один двойной ход продольные, мм",02..24
22,"Пределы подач за один двойной ход поперечные, мм",02..24
23,"Пределы подач за один двойной ход круговые, град","0,1..1,4°"
24,"Скорость быстрого перемещения стола продольная, мм/мин",25
25,"Скорость быстрого перемещения стола поперечная, мм/мин",25
26,"Скорость быстрого перемещения стола круговая, об/мин",407
27,Электрооборудование. Привод,
28,Количество электродвигателей на станке,3
29,"Электродвигатель гидропривода (главного движения), кВт (об/мин)",7
30,"Электродвигатель ускоренного перемещения стола, кВт",17
31,"Электродвигатель электронасоса СОЖ, кВт",012
32,"Суммарная мощность всех электродвигателей, кВт",
33,Габариты и масса станка,
34,"Габариты станка (длина ширина высота), мм",2650 х 1810 х 2890
35,"Масса станка, кг",5200
