index,Станок,Группа,Тип,Мощность,КПД,Точность,Автоматизация,Специализация,Масса,Классификация_по_массе,Длина,Ширина,Высота,Габаритный_диаметр,Город,Производитель,Тип_станка
63,16Д20,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,2800.0,Средний,2880,1270,1605,Ø 400,Алма-Ата,None,Токарно-винторезный универсальный
64,16Д25,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,2880.0,Средний,2880,1320,1605,Ø 400,Алма-Ата,None,Токарно-винторезный универсальный
65,16Е16КП,1.0,6.0,7.5,0.75,П,Ручной,Универсальный,2270.0,Средний,1310,690,1360,Ø 320,Куйбышев (Самара),None,Токарно-винторезный повышенной точности с АКС
66,16Е20,1.0,6.0,5.5,0.75,Н,Ручной,Универсальный,2000.0,Средний,2400,1220,1640,Ø 400,Алма-Ата,None,Токарно-винторезный универсальный
67,16К20,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,3005.0,Средний,2795,1190,1500,Ø 400,Москва,None,Токарно-винторезный универсальный
68,16К20ВФ1,1.0,6.0,5.5,0.75,В,Ручной,Универсальный,2870.0,Средний,2795,1190,1810,Ø 400,Москва,None,Токарно-винторезный высокой точности с УЦИ
69,16К20М,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,3010.0,Средний,2795,1190,1500,Ø 400,Москва,None,Токарно-винторезный механизированный
70,16К20П,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,3010.0,Средний,2795,1190,1500,Ø 400,Москва,None,Токарно-винторезный повышенной точности универсальный
71,16К20ПФ1,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,3010.0,Средний,2795,1190,1500,Ø 400,Москва,None,Токарно-винторезный высокой точности с УЦИ
72,16К20Т1,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,3800.0,Средний,2795,1190,1500,Ø 500,Москва,None,Токарный патронно-центровой с ОСУ
73,16К20Т1.01,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,4100.0,Средний,2795,1190,1500,Ø 500,Москва,None,Токарный патронно-центровой с ОСУ
74,16К20Т1.02,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,3800.0,Средний,2795,1190,1500,Ø 500,Москва,None,Токарный патронно-центровой с ОСУ
75,16К20Ф1,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,3010.0,Средний,2795,1190,1500,Ø 400,Москва,None,Токарно-винторезный высокой точности с УЦИ
76,16К20Ф3,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,4050.0,Средний,3700,1700,2145,Ø 400,Тверь,None,Токарный патронно-центровой с ЧПУ
77,16К20Ф3С32,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,4050.0,Средний,3700,1700,2145,Ø 400,Москва,None,Токарный патронно-центровой с ЧПУ
78,16К20Ф3С5,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,5000.0,Средний,2795,1190,1500,Ø 400,Москва,None,Токарный патронно-центровой с ЧПУ
79,16К20Ф3С8,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,5000.0,Средний,2795,1190,1500,Ø 400,Москва,None,Токарный патронно-центровой с ЧПУ
80,16К25,1.0,6.0,11.0,0.75,Н,Ручной,Универсальный,3095.0,Средний,2795,1240,1500,Ø 500,Москва,None,Токарно-винторезный облегченный универсальный
81,16К30,1.0,6.0,17.0,0.75,Н,Ручной,Универсальный,6875.0,Средний,5545,2010,1545,Ø 630,Рязань,None,Токарно-винторезный
82,16К30ФС333,1.0,6.0,22.0,0.75,П,Ручной,Универсальный,7800.0,Средний,5290,3470,2105,Ø 630,Рязань,None,Токарный патронно-центровой с ЧПУ
83,16К30ФС353,1.0,6.0,22.0,0.75,П,Ручной,Универсальный,7800.0,Средний,5290,3470,2105,Ø 630,Рязань,None,Токарный патронно-центровой с ЧПУ
84,16К40,1.0,6.0,18.5,0.75,"Н,П",Ручной,Универсальный,7100.0,Средний,1295,2785,1500,Ø 800,Рязань,None,Токарно-винторезный универсальный
85,16К40Ф101,1.0,6.0,18.5,0.75,Н,Ручной,Универсальный,6200.0,Средний,5545,2010,1545,Ø 800,Рязань,None,Токарно-винторезный универсальный
86,16К50Ф3,1.0,6.0,30.0,0.75,Н,Ручной,Специальный,11500.0,Тяжёлый,5055,2580,2100,Ø 1000,Рязань,None,Специальный токарный с ЧПУ
87,16Л20,1.0,6.0,3.8,0.75,Н,Ручной,Универсальный,1975,Средний,5350,1860,1625,Ø 400,Ереван,None,Токарно-винторезный облегченный
88,16Л20КП,1.0,6.0,3.8,0.75,П,Ручной,Универсальный,1975.0,Средний,5350,1860,1625,Ø 400,Ереван,None,Токарно-винторезный облегченный
89,16М05А,1.0,6.0,1.5,0.75,А,Ручной,Универсальный,1400.0,Средний,1550,1350,1400,Ø 250,Одесса,None,Токарно-винторезный особо высокой точности
90,16М30Ф3-141,1.0,6.0,30.0,0.75,П,Ручной,Универсальный,8000.0,Средний,5290,3875,2130,Ø 630,Рязань,None,Токарный патронно-центровой с ЧПУ
91,16Р25П,1.0,6.0,11.0,0.75,П,Ручной,Универсальный,2700.0,Средний,2825,1345,1600,Ø 500,Рязань,None,Токарно-винторезный повышенной точности
92,16Т02А,1.0,6.0,25.0,0.75,А,Ручной,Универсальный,35.0,Лёгкий,695,520,300,Ø 125,Кировакан,None,Токарный настольный
93,16Т02П,1.0,6.0,0.25,0.75,П,Ручной,Универсальный,35.0,Лёгкий,695,520,300,Ø 125,Кировакан,None,Токарный настольный
94,16Т03А,1.0,6.0,0.8,0.75,А,Ручной,Универсальный,580.0,Лёгкий,1210,725,1190,Ø 200,Кировакан,None,Токарный особо высокой точности
95,16Т04А,1.0,6.0,0.8,0.75,А,Ручной,Универсальный,640.0,Лёгкий,1380,730,1215,Ø 200,Кировакан,None,Токарный особо высокой точности
96,16У03П,1.0,6.0,0.6,0.75,П,Ручной,Универсальный,670.0,Лёгкий,1270,725,1250,Ø 200,Кировакан,None,Токарно-винторезный повышенной точности
97,16У04П,1.0,6.0,0.8,0.75,П,Ручной,Универсальный,750.0,Лёгкий,1380,730,1250,Ø 200,Кировакан,None,Токарно-винторезный повышенной точности
98,1711ИФФ3,1.0,7.0,7.5,0.75,Н,Ручной,Универсальный,2000.0,Средний,1600.0,1420.0,2250.0,300 х 230,Ижевск,None,Фрезерный вертикальный
99,1715ИФФ3,1.0,7.0,12.0,0.75,Н,Ручной,Универсальный,3850.0,Средний,1600.0,1420.0,2250.0,Ø 320,Ижевск,None,Фрезерный горизонтальный
100,1716ПФ3,1.0,7.0,11.0,0.75,П,Ручной,Универсальный,4000.0,Средний,3600,1690,2300,Ø 320,Самара,None,Токарный патронно-центровой с ЧПУ и наклонной станиной
101,1716ПФ4,1.0,7.0,11.0,0.75,П,Ручной,Универсальный,4150.0,Средний,3600,1690,2300,Ø 320,Самара,None,Токарный патронно-центровой с ЧПУ и наклонной станиной
102,1730,1.0,7.0,52.0,0.75,Н,Полуавтомат,Универсальный,7500.0,Средний,2600,3200,3900,Ø 410,Москва,None,Токарный многорезцовый универсальный полуавтомат
103,1740РФ3,1.0,7.0,37.0,0.75,Н,Ручной,Универсальный,11600.0,Тяжёлый,4930-5530,23100,3050,Ø 630,Москва,ЗИО,Токарный с ЧПУ
104,1740РФ4,1.0,7.0,60.0,0.75,Н,Ручной,Универсальный,15000.0,Тяжёлый,6000,2310,3050,Ø 630,Москва,ЗИО,Токарный с ЧПУ
105,1А225-6,1.0,2.0,14.0,0.75,Н,Автомат,Универсальный,5700.0,Средний,5700,2100,2115,Ø 25,Москва,None,Токарный шестишпиндельный горизонтальный автомат
106,1А240-6,1.0,2.0,13.0,0.75,Н,Автомат,Универсальный,9000.0,Средний,6050,1600,1945,Ø 25,Москва,None,Токарный шестишпиндельный горизонтальный автомат
107,1А286-6,1.0,2.0,55.0,0.75,Н,Полуавтомат,Универсальный,35500.0,Тяжёлый,3940,3905,4923,Ø 630,Краснодар,None,Токарный шестишпиндельный вертикальный полуавтомат
108,1А318,1.0,3.0,1.7,0.75,Н,Ручной,Универсальный,570.0,Лёгкий,2680,575,1200,Ø 18,Новочеркасск,None,Токарно-револьверный
109,1А425,1.0,4.0,7.5,0.75,Н,Полуавтомат,Универсальный,4850.0,Средний,2570,1650,2150,Ø 250 х 175,Алапаевск,None,Токарно-револьверный полуавтомат
110,1А512МФ3,1.0,5.0,55.0,0.75,П,Ручной,Универсальный,23650.0,Тяжёлый,5250,5320,5000,Ø 1250,Краснодар,None,Токарно-карусельный одностоечный с ЧПУ
111,1А516МФ3,1.0,5.0,55.0,0.75,П,Ручной,Универсальный,24650.0,Тяжёлый,5250,4050,5000,Ø 1250,Краснодар,None,Токарно-карусельный одностоечный с ЧПУ
112,1А616,1.0,6.0,4.0,0.75,Н,Ручной,Универсальный,1500.0,Средний,2135,1225,1220,Ø 320,Куйбышев (Самара),None,Токарно-винторезный повышенной точности
113,1А6161971Г,1.0,6.0,4.0,0.75,Н,Ручной,Универсальный,1500.0,Средний,2135,1225,1220,Ø 320,Куйбышев (Самара),None,Токарно-винторезный универсальный
114,1А616К,1.0,6.0,2.8,0.75,Н,Автомат,Универсальный,1600.0,Средний,2135,1225,1420,Ø 320,Куйбышев (Самара),None,Токарно-винторезный с автоматической коробкой скоростей
115,1А616П,1.0,6.0,4.0,0.75,П,Ручной,Универсальный,1500.0,Средний,2135,1225,1220,Ø 320,Куйбышев (Самара),None,Токарно-винторезный повышенной точности
116,1А616П1961Г,1.0,6.0,4.5,0.75,П,Ручной,Универсальный,1500.0,Средний,2135,1225,1220,Ø 320,Куйбышев (Самара),None,Токарно-винторезный универсальный
117,1А62,1.0,6.0,7.0,0.75,Н,Ручной,Универсальный,2105.0,Средний,2650,1580,1210,Ø 400,Москва,None,Токарно-винторезный универсальный
118,1А625,1.0,6.0,10.0,0.75,Н,Ручной,Универсальный,2820.0,Средний,2820,1202,1280,Ø 500,Фрунзе,None,Токарно-винторезный универсальный
119,1А62Г,1.0,6.0,7.5,0.75,Н,Ручной,Универсальный,1960.0,Средний,1295,2785,1500,Ø 400,Астрахань,None,Токарно-винторезный
120,1А64,1.0,6.0,17.0,0.75,Н,Ручной,Универсальный,11400.0,Тяжёлый,1295,2785,1500,Ø 800,Рязань,None,Токарно-винторезный универсальный
121,1А660,1.0,6.0,55.0,0.75,Н,Ручной,Универсальный,405000.0,Уникальный,12120,2830,2005,Ø 1250,Краматорск,None,Токарно-винторезный тяжелый
122,1А665,1.0,6.0,75.0,0.75,Н,Ручной,Универсальный,603000.0,Уникальный,14520,2956,2330,Ø 2000,Краматорск,None,Токарно-винторезный тяжелый
123,1А670,1.0,6.0,100.0,0.75,Н,Ручной,Универсальный,104000.0,Уникальный,17720,3250,2850,Ø 2000,Краматорск,None,Токарно-винторезный тяжелый
124,1А730,1.0,7.0,14.0,0.75,Н,Ручной,Универсальный,3740.0,Средний,2335,1800,1300,Ø 400,Новосибирск,None,Токарный многорезцовый копировальный
125,1А734Ф3,1.0,7.0,37.0,0.75,П,Ручной,Универсальный,13470.0,Тяжёлый,3340,2300,3580,Ø 320,Минск,None,Токарный одношпиндельный вертикальный с ЧПУ
126,1А95,1.0,9.0,3.0,0.75,Н,Ручной,Универсальный,2050.0,Средний,2800,1290,1650-1775,Ø 420,Новосибирск,None,Токарно-винторезный комбинированный
127,1А983,1.0,9.0,16.0,0.75,Н,Ручной,Универсальный,10300.0,Тяжёлый,3640,2021,1675,Ø 299,Саста,None,Трубонарезной универсальный
128,1Б125,1.0,1.0,5.5,0.75,Н,Автомат,Универсальный,2300.0,Средний,1900,900,1580,Ø 40,Хабаровск,None,Токарно-револьверный одношпиндельный прутковый автомат
129,1Б140,1.0,1.0,5.5,0.75,Н,Автомат,Универсальный,2300.0,Средний,1900,900,1580,Ø 40,Хабаровск,None,Токарно-револьверный одношпиндельный прутковый автомат
130,1Б240-6,1.0,2.0,15.0,0.75,Н,Автомат,Универсальный,12000.0,Тяжёлый,3975,1750,1970,Ø 25,Москва,None,Токарный шестишпиндельный горизонтальный автомат
131,1Б240П-6,1.0,2.0,18.5,0.75,Н/П,Ручной,Универсальный,11500.0,Тяжёлый,4500,1700,2010,Ø 40,Житомир,None,Токарный шестишпиндельный горизонтальный
132,1Б265-4К,1.0,2.0,30.0,0.75,П,Автомат,Универсальный,14500.0,Тяжёлый,5515,2050,2170,Ø 65,Киев,None,Токарный многошпиндельный горизонтальный повышенной точности автомат
133,1Б265-6К,1.0,2.0,30.0,0.75,П,Автомат,Универсальный,14500.0,Тяжёлый,6355,2050,2170,Ø 65,Киев,None,Токарный многошпиндельный горизонтальный повышенной точности автомат
134,1Б265-8К,1.0,2.0,30.0,0.75,П,Автомат,Универсальный,14500.0,Тяжёлый,6220,2050,2170,Ø 65,Киев,None,Токарный многошпиндельный горизонтальный повышенной точности автомат
135,1Б318,1.0,3.0,1.7,0.75,Н,Ручной,Универсальный,660.0,Лёгкий,2680,640,1200,Ø 18,Новочеркасск,None,Токарно-револьверный
136,1Б61,1.0,6.0,4.5,0.75,Н,Ручной,Универсальный,1600.0,Средний,2380,850,1450,Ø 320,Ереван,None,Токарно-винторезный универсальный
137,1Б732Ф3,1.0,7.0,40.0,0.75,Н,Ручной,Универсальный,6900.0,Средний,4245-5445,2140,2835,Ø 630,Москва,ЗИО,Токарный с ЧПУ
138,1Б811,1.0,8.0,3.0,0.75,Н,Ручной,Универсальный,3250.0,Средний,2850,1500,1800,Ø 240,Куйбышев (Самара),None,Затыловочный универсальный
139,1В340Ф30,1.0,3.0,6.0,0.75,П,Ручной,Универсальный,3600.0,Средний,2840,1770,1670,Ø 400,Бердичев,None,Токарно-револьверный с ЧПУ
140,1В61,1.0,6.0,2.2,0.75,Н,Ручной,Универсальный,1200.0,Средний,1880,800,1450,Ø 320,Ереван,None,Токарно-винторезный универсальный
141,1В625М,1.0,6.0,7.5,0.75,Н,Ручной,Универсальный,2430.0,Средний,2800,1370,1700,Ø 445,Астрахань,None,Токарно-винторезный универсальный
142,1В62Г,1.0,6.0,7.5,0.75,Н,Ручной,Универсальный,2430.0,Средний,2800,1190,1450,Ø 445,Астрахань,None,Токарно-винторезный универсальный
143,1Г325,1.0,3.0,2.6,0.75,Н,Ручной,Универсальный,1300.0,Средний,3980,1000,1555,Ø 25,Новочеркасск,None,Токарно-револьверный прутковый
144,1Г340П,1.0,3.0,6.0,0.75,П,Ручной,Универсальный,3000.0,Средний,2800,1200,1400,Ø 400,Бердичев,None,Токарно-револьверный повышенной точности
145,1Д325П,1.0,3.0,3.2,0.75,П,Ручной,Универсальный,1635.0,Средний,2283,1035,1255,Ø 25,Новочеркасск,None,Токарно-револьверный прутковый
146,1Д601,1.0,6.0,0.18,0.75,Н,Ручной,Универсальный,30.0,Лёгкий,680,200,220,Ø 125,Кировакан,None,Токарный настольный
147,1Д63А,1.0,6.0,10.0,0.75,Н,Ручной,Универсальный,3920.0,Средний,3610-5110,1690,1275,Ø 615,Тбилиси,None,Токарно-винторезный универсальный
148,1Д95,1.0,9.0,4.0,0.75,Н,Ручной,Универсальный,2030.0,Средний,3000,1200,1610,Ø 420,Новосибирск,None,Токарно-винторезный комбинированный
149,1Е365БП,1.0,3.0,15.0,0.75,"Н, П (1Е365БП)",Ручной,Универсальный,5200.0,Средний,4400,1525,1800,Ø 500,Алапаевск,None,Токарно-револьверный универсальный
150,1Е604,1.0,6.0,1.1,0.75,П,Ручной,Универсальный,525.0,Лёгкий,1180,590,1185,Ø 200,Кировакан,None,Токарно-винторезный повышенной точности
151,1Е61,1.0,6.0,3.2,0.75,П,Ручной,Универсальный,1850.0,Средний,2275,950,1590,Ø 320,Ульяновск,None,Токарно-винторезный повышенной точности
152,1Е61М,1.0,6.0,4.5,0.75,П,Ручной,Универсальный,1650.0,Средний,2190,930,1500,Ø 320,Ульяновск,None,Токарно-винторезный повышенной точности
153,1Е61МТ,1.0,6.0,4.5,0.75,П,Ручной,Универсальный,1650.0,Средний,2191,930,1500,Ø 320,Ульяновск,None,Токарно-винторезный повышенной точности
154,1Е61ПМ,1.0,6.0,2.7,0.75,П,Ручной,Универсальный,1670.0,Средний,2290,1150,1365,Ø 320,Ульяновск,None,Токарно-винторезный повышенной точности
155,1Е811,1.0,8.0,4.0,0.75,Н,Ручной,Универсальный,3915.0,Средний,2900,1750,1900,Ø 240,Куйбышев (Самара),None,Затыловочный универсальный
