index,Наименование параметра,ТШ-2
0,Шлифовальный круг по ГОСТ 2424-83 на керамической связке,
1,"Наружный диаметр круга, мм",300
2,"Высота круга, мм",10..50
3,"Посадочный диаметр круга, мм",76
4,"Диаметр изношенного круга, мм",150
5,Класс неуравновешенности,"1, 2"
6,"Высота центров от основания, мм",950
7,Шпидель,
8,"Частота вращения, 1/мин",1500
9,"Максимальная скорость резания, м/с",235
10,Электрооборудование,
11,Питающая сеть,~380 В 50 Гц
12,"Электродвигатель привода, кВт",22
13,Габариты и масса станка,
14,"Габариты станка (длина ширина высота), мм",610 х 470 х 1340
15,"Масса станка, кг",112
